mm/dd/yyyy | hh:mm:ss | x → transcript | video title + (participants)

03/11/2011 | 00:11:53 | bit.ly/3ly9lOi | Drive Angry and The Adjustment Bureau (Mike, Jay, Rich)
03/15/2011 | 00:10:03 | bit.ly/35tKUf5 | Battle Los Angeles and Galaxy Invader (Mike, Jay, Rich)
03/26/2011 | 00:27:39 | bit.ly/35u4OXC | Paul and Toronto Comic Con (Mike, Jay)
04/01/2011 | 00:12:31 | bit.ly/38HAPgG | Sucker Punch (Mike, Jay, Rich)
04/14/2011 | 00:16:51 | bit.ly/2Up8yDf | Your Highness and Samurai Cop (Mike, Jay, Rich, Josh)
04/22/2011 | 00:24:33 | bit.ly/3prvMXB | Scream 4 and No Brand Con (Mike, Jay)
05/09/2011 | 00:20:32 | bit.ly/3eVGYXA | Super and The Watchman (Mike, Jay, Rich, The Watchman)
05/22/2011 | 00:21:19 | bit.ly/2IqKT37 | Troll 2 and Best Worst Movie (Mike, Jay, Lora Story)
05/24/2011 | 00:07:56 | bit.ly/35r6Bwi | Special Edition (The Zookeeper) (Mike, Jay)
06/10/2011 | 00:42:33 | bit.ly/35uQIoJ | Summer Movie Catch-up (Mike, Jay, Rich)
06/29/2011 | 00:17:12 | bit.ly/38FiYqE | The 48-Hour Film Project (Mike, Jay, Jack)
07/19/2011 | 00:25:28 | bit.ly/2UwqonH | Transformers: Dark of the Moon (Mike, Jay, Rich, Jack)
07/24/2011 | 00:22:02 | bit.ly/32FHtAa | Captain America and The Rocketeer (Mike, Jay, Rich)
08/06/2011 | 00:21:53 | bit.ly/2ICu3yb | Cowboys and Aliens (Mike, Jay, Rich)
08/15/2011 | 00:20:42 | bit.ly/3kuworJ | Rise of the Planet of the Apes and Cyphan Con 2011 (Mike, Jay, Rich)
08/26/2011 | 00:18:47 | bit.ly/35tthMB | Chicago Comic Con (Mike, Jay, Rich)
08/31/2011 | 00:25:53 | bit.ly/32HmAEF | Fright Night and Conan the Barbarian (Mike, Jay, Rich)
09/16/2011 | 00:30:27 | bit.ly/2Up9Cad | The People vs. George Lucas and Star Wars Discussion (Mike, Jay, Rich, Alexander Philippe)
09/21/2011 | 00:14:26 | bit.ly/2UwqHPn | The People vs. George Lucas and Star Wars Discussion (Mike, Jay, Rich, Alexander Philippe)
09/28/2011 | 00:14:34 | bit.ly/2H2tNaY | Drive and Contagion (Mike, Jay, Rich)
10/11/2011 | 00:22:25 | bit.ly/38GyqCQ | Robot and The Last Circus (Mike, Jay, Rich)
10/21/2011 | 00:20:45 | bit.ly/2Upj5hF | What's Your Number and The Black Ninja (Mike, Jay, Jillian, Rich, Jack)
10/21/2011 | 00:28:02 | bit.ly/36yiGiz | What's Your Number and The Black Ninja (Mike, Jay, Jillian, Rich)
11/20/2011 | 00:28:53 | bit.ly/38Fkfhq | Jack and Jill (1 of 2) (Mike, Jay, Rich)
11/21/2011 | 00:24:09 | bit.ly/3krTJKz | Jack and Jill (2 of 2) (Mike, Jay, Rich)
01/12/2012 | 00:32:54 | bit.ly/36vCzqM | The Girl with the Dragon Tattoo and 2011 Re-Cap (Mike, Jay, Rich)
01/17/2012 | 00:33:34 | bit.ly/2UqUVU8 | The Devil Inside and Flyin' Ryan (Mike, Jay, Rich)
01/26/2012 | 00:27:51 | bit.ly/3prxY1h | Red Tails (Mike, Jay, Rich)
02/07/2012 | 00:26:29 | bit.ly/3lvCauG | B-Fest 2012 Re-cap (Mike, Jay, Josh, Rich)
02/24/2012 | 00:28:53 | bit.ly/3kvwtvt | Chronicle and Ghost Rider: Spirit of Vengeance (Mike, Jay, Rich, Jocelyn Ridgely)
03/15/2012 | 00:23:16 | bit.ly/3eX7YWC | Silent House and John Carter (Mike, Jay, Rich)
03/30/2012 | 00:34:41 | bit.ly/3poUx6J | The Hunger Games and Jeff Who Lives at Home (Mike, Jay, Rich, Jack)
04/15/2012 | 00:29:01 | bit.ly/3njMN48 | Cabin in the Woods and The Three Stooges (Mike, Jay, Rich 
04/30/2012 | 00:24:47 | bit.ly/38Nzxk6 | Zaat (Mike, Jay)
05/08/2012 | 00:28:53 | bit.ly/36xpDk1 | The Avengers and CPHPIX Film Festival (Mike, Jay)
05/25/2012 | 00:29:28 | bit.ly/3nnJjgY | Battleship and Dark Shadows (Mike, Jay, Rich)
06/11/2012 | 00:24:07 | bit.ly/2UpH941 | Prometheus (Mike, Jay, Rich)
06/28/2012 | 00:29:18 | bit.ly/3eWoRAV | Abraham Lincoln Vampire Hunter and That's My Boy (Mike, Jay, Rich)
